date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-09-18,1.1063910460,1.2687731098,1.0819425014,0.8671623826,1.2714599658,0.9045870661
2020-09-19,1.0433092322,1.1364615359,1.0401042159,0.8452664162,1.1735778985,0.7264307338
2020-09-20,1.1024451424,1.1259105249,1.1604588119,0.8897769413,1.2374610787,0.6954757481
2020-09-21,1.2389886968,1.3193948281,1.3668084993,1.1479514661,1.5034760264,1.0111825447
2020-09-22,1.2981742050,1.2696885340,1.3246596054,1.1018248303,1.5027662430,1.0500673980
2020-09-23,1.2821986692,1.2347069133,1.3049982173,1.0305000008,1.4370600087,1.1311406765
2020-09-24,1.2868652446,1.2452538122,1.2322422094,1.0791896941,1.4530940855,1.0114070918
2020-09-25,1.2599268457,1.1821983224,1.3839851429,1.1872604270,1.5463046405,0.9806991630
2020-09-26,1.1728644687,1.1368791210,1.3221297850,1.0180100005,1.4090084571,0.9034340095
2020-09-27,1.1597508487,1.1202715587,1.2471134807,1.0964299246,1.3771749514,1.0872194506
2020-09-28,1.3752221417,1.3653879565,1.5813400319,1.3109048706,1.6131966334,1.1350121837
2020-09-29,1.3978985936,1.3283276478,1.6420501071,1.3049116542,1.7039255157,1.2476834672
2020-09-30,1.4451672192,1.3751645239,1.6139843863,1.3129742079,1.6681177543,1.2518299374
2020-10-01,1.5375137973,1.4152495007,1.6334028652,1.3655085277,1.7252676517,1.3654253093
2020-10-02,1.6619979998,1.5013790482,1.7608851094,1.3624037408,1.8160829583,1.3520001771
2020-10-03,1.6426690310,1.5135964924,1.6981334428,1.4495989983,1.8104318926,1.4473167214
2020-10-04,1.6997263370,1.5505862091,1.7799826986,1.3429893691,1.7943979284,1.4997373770
2020-10-05,1.9152039413,1.8101467719,1.9421752317,1.7201183189,2.1021381187,1.6325361071
2020-10-06,1.9404843526,1.8515423289,2.0360761726,1.6867378160,2.1115485914,1.7039377121
