date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-06-12,-1.0698637000,-1.1504346331,-1.0576594498,-0.6418226733,-0.8143923998,-1.1524434160
2020-06-13,-1.1045994023,-1.2135735166,-1.1048365337,-0.6588289999,-0.8306794294,-0.9680595868
2020-06-14,-1.0902360872,-1.1676651778,-1.0628961198,-0.8997422028,-0.7704276820,-0.9889265268
2020-06-15,-1.0158197156,-0.9313739917,-0.5785538396,-0.3283101471,-0.0449132093,-0.7591989481
2020-06-16,-1.0110236288,-0.8946369830,-0.7531972243,-0.4138951452,1.7485000658,-0.9185012467
2020-06-17,-0.9099589583,-0.9235324452,-0.7579949047,-0.3950199572,0.2727568117,-1.0725427623
2020-06-18,-1.0063486085,-1.0543030462,-1.0127628330,-0.5154152776,0.0407245242,-1.0224339358
2020-06-19,-0.8840456367,-0.8838586814,-0.9456101906,-0.7197600146,0.0496656467,-0.9153530349
2020-06-20,-0.9441097064,-0.8341526932,-1.0717642663,-0.6959845140,-0.3227346241,-0.9623413451
2020-06-21,-1.0585217080,-0.9736208952,-1.1938491532,-0.9685809897,-0.6715746728,-1.0419674989
2020-06-22,-0.8178645635,-0.8602475613,-0.9564715027,-0.9218446944,-0.4245288754,-0.8347059921
2020-06-23,-0.8696665318,-0.9463365642,-1.2840452798,-0.7818087182,-0.4342884704,-0.8042505823
2020-06-24,-0.7676371853,-0.8960416249,-0.8991326160,-0.8256571308,-0.3422482263,-0.8830813247
2020-06-25,-1.0018641034,-0.9146507565,-1.0612991284,-1.0266468477,-0.4036374221,-0.7949648093
2020-06-26,-0.8694092922,-0.8153923402,-1.0958263540,-0.9208653104,-0.5670818636,-0.8625071897
2020-06-27,-1.0438069749,-0.9127568154,-1.1950289117,-1.1140100325,-0.7277810333,-0.9488136591
2020-06-28,-1.0400779425,-0.9357449317,-1.0513378408,-1.1795721863,-0.8858887672,-1.0191304946
2020-06-29,-0.9885895058,-0.7613346130,-0.6765414963,-1.0351061915,-0.6154267334,-0.9885665657
2020-06-30,-0.9789156062,-0.8082345746,-0.8989110789,-1.0204037906,-0.4736360516,-0.9442044126
2020-07-01,-0.9767042457,-0.8563273306,-0.9445303882,-0.9934702497,-0.5951619060,-0.7003904767
2020-07-02,-0.9700195695,-0.9035388998,-0.8396076133,-1.1570376480,-0.9482546300,-1.0989753294
2020-07-03,-0.9649152363,-0.7329139139,-0.9185029325,-1.2075032665,-0.9758358294,-0.7916564342
2020-07-04,-0.9632734862,-0.9316446130,-1.0617604027,-1.3262224981,-0.9927475536,-0.9007206436
2020-07-05,-1.0508148956,-0.9562330357,-0.9012548048,-1.3617685354,-1.0321913892,-0.9160494511
2020-07-06,-0.8057965490,-0.8771178697,-0.9873129122,-1.2704681444,-0.7778235785,-0.6146028466
2020-07-07,-0.9211697761,-0.7453616289,-0.8624713753,-1.3684339946,-0.7660329724,-0.7722475695
2020-07-08,-0.8881257111,-0.8278068816,-0.8305004112,-1.3455244951,-0.8426067384,-0.6213195970
2020-07-09,-0.9302393763,-0.8149379285,-0.7008438687,-1.0125987045,-0.8934073568,-0.6820697474
2020-07-10,-0.8125623129,-0.8315198908,-0.6973269113,-0.9301417721,-0.6832395888,-0.3368297918
2020-07-11,-0.8160431122,-0.8348593786,-0.9835645951,-1.1526055298,-0.7631628444,-0.4826540600
2020-07-12,-0.8786104664,-0.8271064494,-1.0903051639,-1.1100563694,-0.7941566416,-0.8019387092
2020-07-13,-0.4927415629,-0.6665851187,-0.5144295232,-0.7388925496,-0.4983458989,-0.3717828676
2020-07-14,-0.7059844785,-0.7731426333,-0.7161241252,-0.6131321734,-0.3884147180,-0.5762081227
2020-07-15,-0.5985848529,-0.6897717456,-0.5296659186,-0.6637128415,-0.3109591703,-0.6480665914
2020-07-16,-0.6607008750,-0.7741951213,-0.7014301382,-0.8568625398,-0.5519476879,-0.8390896434
2020-07-17,-0.5302872364,-0.8094983159,-0.5567410041,-0.5869593944,-0.4554178954,-0.8045844101
2020-07-18,-0.6464929190,-0.7696862786,-0.8622782703,-0.9764551385,-0.4051305724,-0.7873808184
2020-07-19,-0.7141219054,-0.7596765341,-0.6398693949,-0.8829703144,-0.3980619355,-0.7601603445
2020-07-20,-0.6524560874,-0.5321226531,-0.4218525293,-0.6878833196,-0.0222690857,-0.5906227508
2020-07-21,-0.6092479508,-0.5410324573,-0.2979341959,-0.8111901597,0.0705328598,-0.8577375033
2020-07-22,-0.5563117261,-0.3714924323,-0.4717714943,-0.8256504419,0.0872712517,-0.4947371865
2020-07-23,-0.4783433304,-0.5432223167,-0.3620587348,-0.8095279780,-0.0881319259,-0.7303848276
2020-07-24,-0.6217358844,-0.6226312659,-0.2487060110,-0.5168955093,-0.0490620893,-0.4677498165
2020-07-25,-0.6901317153,-0.6388088022,-0.2368990269,-0.6466800979,-0.1651611952,-0.6931250110
2020-07-26,-0.6709535006,-0.6981033323,-0.4407159217,-0.7361941459,-0.1376016023,-0.7029304984
2020-07-27,-0.5671823461,-0.5454619991,-0.1008530433,-0.2560414462,0.3753271048,-0.5302486963
2020-07-28,-0.6391282388,-0.5518254889,-0.1328724738,-0.3547243753,0.1345074567,-0.3381523824
2020-07-29,-0.6997980627,-0.5990991857,-0.1914356990,-0.5052428299,0.1772074355,-0.4000763225
2020-07-30,-0.6680001821,-0.5611204501,0.0905633935,-0.4877854565,0.0941069778,0.0822788467
2020-07-31,-0.6629568467,-0.5757991005,-0.1653319048,-0.3044493027,0.1294061719,-0.2398255608
2020-08-01,-0.6827143021,-0.5342892300,0.0333876439,-0.5241453127,0.2823228031,-0.1729854051
2020-08-02,-0.6388320510,-0.5349315211,0.5146902578,-0.2889130252,0.2904231295,0.1166719713
2020-08-03,-0.4829111244,-0.3583386451,0.5109124869,0.1095545536,0.6179668568,0.1876628842
2020-08-04,-0.4651416371,-0.4232777945,0.7124918433,-0.2437389051,0.4933933462,0.1112067517
2020-08-05,-0.4648762852,-0.4481757050,0.5904125636,-0.1203261394,0.3898402271,0.2339761205
2020-08-06,-0.3221186798,-0.4793262207,0.4445216952,-0.1990831490,0.4633802491,0.3257657905
2020-08-07,-0.2783192363,-0.3014392203,0.5475610450,0.0037750146,0.4727876232,0.2793419651
2020-08-08,-0.3364385480,-0.2338605422,0.5153871521,-0.3604405351,0.3662889432,0.2152439574
2020-08-09,-0.1741772818,-0.1621937216,0.5129266224,-0.2848379200,0.3175583300,0.2764812159
2020-08-10,0.1101449014,0.1918024566,0.9281088809,0.2533317841,0.7467817600,0.5364838917
2020-08-11,-0.0055254724,0.1009038230,0.9548246490,0.3317972687,0.6436438430,0.6096950714
2020-08-12,0.1177797916,0.1207410604,1.0771697002,0.2540647552,0.5978267102,0.6125039082
2020-08-13,0.2433196220,0.2799329769,1.0440871440,0.0464288974,0.5620417059,0.7357245271
2020-08-14,0.1812382207,0.2642389221,0.9318672574,0.2013164265,0.4893785649,0.4814003893
2020-08-15,0.2436710073,0.2217199679,1.2587741413,-0.0913803142,0.0104552562,0.4860291084
2020-08-16,0.3396513455,0.2101362372,0.9322237599,-0.0409611845,-0.1644814777,0.6239890512
2020-08-17,0.5222168868,0.3866019890,0.9993522232,0.5184558791,0.2459844805,0.7645779493
2020-08-18,0.4665796637,0.4342669715,1.1586664311,0.3797380655,0.3421578256,0.5596570438
2020-08-19,0.5981828993,0.2763816970,1.0982536592,0.0825479962,0.0625511187,0.5402689073
2020-08-20,0.3926204611,0.1910636003,0.6793959522,0.0289916069,-0.1498872731,0.3388446968
2020-08-21,0.4241347050,0.2922205847,0.7688973333,0.0164882319,-0.2352256257,0.2605684250
2020-08-22,0.4018717487,0.2509594609,0.2564735152,-0.0070813614,-0.2002600620,0.2560654437
2020-08-23,0.3937879386,0.3330001267,0.5243270478,0.0614155588,-0.1986259888,0.2951103747
2020-08-24,0.6220475357,0.4809805674,0.8078917202,0.4868609964,0.0414339246,0.5585925050
2020-08-25,0.5723236938,0.4364702664,0.3549100320,0.2624431633,-0.0785584197,0.6281383579
2020-08-26,0.4441519986,0.2691826109,0.3332857652,0.0110103993,-0.2285124299,0.4597942655
2020-08-27,0.4130057760,0.3150378363,0.4431879198,0.0378600903,-0.1598790661,0.2934981682
2020-08-28,0.3061801738,0.2209246009,0.4275966815,-0.0017142442,-0.1954064063,0.3255438473
2020-08-29,0.1930642374,0.0708146400,0.2424063366,-0.2247706052,-0.4166014498,-0.1767094273
2020-08-30,0.2239893168,0.1950373218,0.3303673131,-0.1755438209,-0.4699848990,-0.0176946769
2020-08-31,0.5390580330,0.4834104609,0.5160937350,0.2021894917,-0.0006360181,0.4340108674
2020-09-01,0.6104388912,0.7245404380,0.4471899351,0.5043075004,-0.0826112274,0.3815080073
2020-09-02,0.4326031971,0.6201040741,0.3733488692,0.0953870209,-0.1260155007,0.2457798971
2020-09-03,0.3699863962,0.4703614453,0.3590662234,0.0995093290,-0.1441091407,0.5308604405
2020-09-04,0.3937879386,0.5226456241,0.3837072005,0.3974659849,-0.2030898676,0.1260624632
2020-09-05,0.2987521065,0.4047488321,0.2690388821,0.0184778245,-0.2294285582,0.1245385135
2020-09-06,0.2908739060,0.5005963854,0.2819236347,0.2557644915,0.1216125809,0.3219753654
2020-09-07,0.5444946187,0.6987559964,0.6147284787,0.5800654113,0.4547695793,0.6522788024
2020-09-08,0.4716137951,0.6940252264,0.4929086202,0.4739741971,0.4475526469,0.2815660470
2020-09-09,0.4571217564,0.6567569070,0.5788638219,0.6875179967,0.4036651260,0.4013969931
2020-09-10,0.4761000869,0.6436176596,0.4118932759,0.3848079275,0.5884030079,0.5346768355
2020-09-11,0.4057051839,0.6611112053,0.6134805190,0.6941662420,0.5865023920,0.2652829795
