date,Baden-Württemberg,Bayern,Hessen,Niedersachsen,Nordrhein-Westfalen,Rheinland-Pfalz
2020-07-02,33.30040000,62.36630000,33.78300000,19.85000000,122.53300000,7.27510000
2020-07-03,33.76670000,84.75000000,30.65870000,17.88330000,119.00800000,14.50840000
2020-07-04,33.91700000,58.90830000,25.24137000,13.40803000,116.86700000,11.82500000
2020-07-05,26.11630000,55.93370000,31.33300000,12.10830000,111.93300000,11.45840000
2020-07-06,49.08340000,65.67430000,28.01630000,15.48370000,145.25800000,19.15800000
2020-07-07,37.82530000,83.03300000,32.86700000,11.86660000,146.89200000,15.00003000
2020-07-08,40.96630000,72.00000000,34.15030000,12.70000000,136.42500000,18.97470000
2020-07-09,36.97460000,73.68400000,39.53330000,25.70000000,129.66700000,17.34200000
2020-07-10,48.40030000,71.51670000,39.68340000,29.19200000,158.60000000,27.25000000
2020-07-11,48.05000000,71.08300000,28.15830000,20.02460000,147.29100000,22.87470000
2020-07-12,41.88300000,72.09130000,24.20000000,21.71640000,143.00800000,14.24970000
2020-07-13,84.10870000,94.13370000,47.80000000,37.74170000,186.28600000,26.17470000
2020-07-14,59.50770000,79.25000000,38.88370000,43.72530000,203.81100000,20.21660000
2020-07-15,71.48370000,90.80800000,47.10000000,41.28300000,216.66100000,18.25030000
2020-07-16,64.45830000,79.10800000,39.50830000,32.39200000,178.03400000,13.32500000
2020-07-17,79.53330000,74.40000000,45.86700000,45.00830000,193.03200000,14.18333000
2020-07-18,66.04100000,79.71700000,32.87470000,27.21670000,201.09300000,14.61633000
2020-07-19,58.63300000,81.07530000,42.16700000,31.24130000,202.24000000,15.30840000
2020-07-20,65.37500000,114.42500000,52.15000000,40.13300000,268.47000000,19.81700000
2020-07-21,70.25800000,113.02570000,58.24130000,34.43370000,286.52400000,12.86670000
2020-07-22,76.42500000,141.07200000,49.78360000,33.78330000,289.85700000,22.52500000
2020-07-23,85.89230000,112.68300000,55.05000000,34.50870000,256.08300000,16.07530000
2020-07-24,68.83300000,100.57530000,60.74970000,48.50870000,263.38900000,23.30870000
2020-07-25,61.22470000,98.18330000,61.35900000,42.10000000,242.03000000,17.04970000
