scenario,family,method,evaluation,metric,n,mean,std,median,q1,q3,ci95_low,ci95_high
reference_moderate,main,Kalman/RTS smoother (internal),retrospective reconstruction,runtime_seconds,20,0.013033545050006978,0.006473826158770411,0.011184501499883481,0.00855824225016022,0.01466874350001035,0.010578544971327802,0.016025885560031837
reference_moderate,main,Kalman/RTS smoother (internal),retrospective reconstruction,peak_memory_mb,20,0.0125,0.055901699437494734,0.0,0.0,0.0,0.0,0.0375
reference_moderate,main,Known-delay proposed oracle,retrospective reconstruction,rmse,20,0.325819442376359,0.12228491132052041,0.2928006982724747,0.25324874592657753,0.3165388370695643,0.2807118447200288,0.38241276607061486
reference_moderate,main,Known-delay proposed oracle,retrospective reconstruction,mae,20,0.24903446152695952,0.04467303675085227,0.2510412859123546,0.21180072078467116,0.26554065162032164,0.23089359927665312,0.2682394303123368
reference_moderate,main,Known-delay proposed oracle,retrospective reconstruction,r2,20,0.23674384793688144,0.7073477326847765,0.45631411010337775,0.36376829064830585,0.5933060682718614,-0.09681248755330742,0.4915327539511397
reference_moderate,main,Known-delay proposed oracle,retrospective reconstruction,pearson_r,20,0.8074804387484816,0.12169151828593966,0.8510969793435881,0.8224719886459656,0.8759268475964097,0.7504717228419129,0.8515473100541506
reference_moderate,main,Known-delay proposed oracle,retrospective reconstruction,runtime_seconds,20,13.22787441334999,3.34171029381456,13.793792295000003,11.173450227249987,15.048028426249857,11.765741887157446,14.578257653778808
reference_moderate,main,Known-delay proposed oracle,retrospective reconstruction,peak_memory_mb,20,0.177734375,0.6802892404018285,0.0,0.0,0.0,0.00625,0.495703125
reference_moderate,main,Known-delay proposed oracle,retrospective reconstruction,delay_mae,20,1.461964748048977,0.05007739275667007,1.4444827165525642,1.4259899233750364,1.5019735326997896,1.4414693490942643,1.4841801754047037
reference_moderate,main,No-delay ablation,retrospective reconstruction,rmse,20,0.30071261342317024,0.05059503314009534,0.2901101566226143,0.2669652863249879,0.31406608955856796,0.28060426126845944,0.3224780609344968
reference_moderate,main,No-delay ablation,retrospective reconstruction,mae,20,0.2441639800598164,0.03278900335558754,0.23799576184096166,0.21787853256236123,0.26639464587120193,0.23068193193037753,0.2579323453303294
reference_moderate,main,No-delay ablation,retrospective reconstruction,r2,20,0.4111546129081285,0.2091150026953892,0.46623111854532856,0.37449401489527345,0.5480572134620655,0.31974287978462235,0.4930169777267598
reference_moderate,main,No-delay ablation,retrospective reconstruction,pearson_r,20,0.8186267672899424,0.05998583128940845,0.8363635104053868,0.80095669243699,0.8511554496851589,0.7901048245632705,0.8409916437406215
reference_moderate,main,No-delay ablation,retrospective reconstruction,runtime_seconds,20,14.23053324254995,2.2189459034968366,14.142492074499842,12.723543809250032,16.47715859074981,13.221392115163729,15.167212357151161
reference_moderate,main,No-delay ablation,retrospective reconstruction,peak_memory_mb,20,0.171484375,0.6813725661939727,0.0,0.0,0.0,0.0,0.489453125
reference_moderate,main,No-delay ablation,retrospective reconstruction,delay_mae,20,1.5809889145393041,0.032995588784501734,1.5770180650800492,1.557491404390373,1.5952126676387834,1.5676306919283745,1.595930156751818
reference_moderate,main,No-graph ablation,retrospective reconstruction,rmse,20,0.35650566571632436,0.04705797888717632,0.35074141955607774,0.3264395830609748,0.36861454401281873,0.3374687452824262,0.377219160676652
reference_moderate,main,No-graph ablation,retrospective reconstruction,mae,20,0.2887289403725991,0.02613469749280633,0.2929088597550537,0.2697360257166972,0.3038978215952809,0.27761286794442563,0.3001010375566267
reference_moderate,main,No-graph ablation,retrospective reconstruction,r2,20,0.18071414099647815,0.2252514224481123,0.21990587244244625,0.1379184400712828,0.32418409280174687,0.08011459653618444,0.27084733656139187
reference_moderate,main,No-graph ablation,retrospective reconstruction,pearson_r,20,0.83614734797767,0.08427303929403934,0.8621591854972344,0.7961843648107823,0.8883812879376864,0.7955791163701492,0.8679342421328161
reference_moderate,main,No-graph ablation,retrospective reconstruction,runtime_seconds,20,9.26777520390001,2.0829524978783356,9.232212439500017,8.38586410649998,10.722220849249993,8.383497645421293,10.175163228942457
reference_moderate,main,No-graph ablation,retrospective reconstruction,peak_memory_mb,20,0.1755859375,0.6731736070813139,0.0,0.0,0.0,0.0,0.48941406249999775
reference_moderate,main,No-graph ablation,retrospective reconstruction,delay_mae,20,1.3235734388442526,0.01941319977858207,1.323676863964276,1.3117094930628366,1.3280550729414928,1.315827959717694,1.3324558824100607
reference_moderate,main,No-robustness ablation,retrospective reconstruction,rmse,20,0.6869558168774578,0.3115488795921858,0.5592226022560713,0.49754577859359506,0.7150558920940739,0.5681423739789727,0.8315393289942538
reference_moderate,main,No-robustness ablation,retrospective reconstruction,mae,20,0.4282680848985606,0.0866114981803767,0.41394706590273966,0.37720364558029745,0.46925716097035064,0.39433784110688264,0.4668143560911365
reference_moderate,main,No-robustness ablation,retrospective reconstruction,r2,20,-2.5771959397450264,3.626428868033179,-0.9831052833500521,-2.2890182279391227,-0.5697864365047774,-4.2740181360341944,-1.215148259134191
reference_moderate,main,No-robustness ablation,retrospective reconstruction,pearson_r,20,0.5689510031749143,0.17402473210366315,0.5754800701496177,0.45979517427292715,0.6856852772583897,0.4896324205925376,0.6378611184350123
reference_moderate,main,No-robustness ablation,retrospective reconstruction,runtime_seconds,20,14.11977707814999,3.6624411460081197,13.884981232999962,12.60734120074983,16.071323027750168,12.607674603708732,15.72488148445248
reference_moderate,main,No-robustness ablation,retrospective reconstruction,peak_memory_mb,20,0.171484375,0.6813725661939727,0.0,0.0,0.0,0.0,0.489453125
reference_moderate,main,No-robustness ablation,retrospective reconstruction,delay_mae,20,1.3386379260913923,0.02365843811376755,1.3347149591054308,1.3218110494778545,1.3570727730396812,1.3289352024220835,1.349078596267808
reference_moderate,main,Oracle timestamp interpolation,retrospective reconstruction,rmse,20,1.834886966226156,1.0341157802977587,1.5231255482597001,1.1377244813642335,2.114882881107215,1.439109710871582,2.310542384991785
reference_moderate,main,Oracle timestamp interpolation,retrospective reconstruction,mae,20,0.2755838334708508,0.10913457400269182,0.2665472552036533,0.19632355010188202,0.31252072606775394,0.23135114279207095,0.3248746945294755
reference_moderate,main,Oracle timestamp interpolation,retrospective reconstruction,r2,20,-26.79189583364315,33.8002348086082,-13.711101100834842,-27.36316950182265,-7.2199039689825995,-42.848871496868504,-14.184813766519282
reference_moderate,main,Oracle timestamp interpolation,retrospective reconstruction,pearson_r,20,0.267532412089344,0.13444648190116196,0.28124091935552914,0.1725318411852196,0.33785628007588453,0.20948049001900704,0.3253065615011527
reference_moderate,main,Oracle timestamp interpolation,retrospective reconstruction,runtime_seconds,20,0.007689910400017652,0.004889913365809655,0.006544139500192614,0.005209782500173787,0.008211188750124165,0.0061464066887765515,0.010148740761292173
reference_moderate,main,Oracle timestamp interpolation,retrospective reconstruction,peak_memory_mb,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reference_moderate,main,Original proposed ablation,retrospective reconstruction,rmse,20,0.3097311549380078,0.051497226790062696,0.29328726983074527,0.2797363195966808,0.3161868762289163,0.2895626220209967,0.3333254382207795
reference_moderate,main,Original proposed ablation,retrospective reconstruction,mae,20,0.2472242472186518,0.025808911539889408,0.24466048107987684,0.23223390566126023,0.2624308682758556,0.23649918642687992,0.25831153270415
reference_moderate,main,Original proposed ablation,retrospective reconstruction,r2,20,0.37568934366472095,0.22806700225948578,0.4545420897685223,0.3660418459610425,0.5036573095532298,0.2713161243453698,0.4629593450747178
reference_moderate,main,Original proposed ablation,retrospective reconstruction,pearson_r,20,0.8271867549026799,0.06340010810129221,0.8490074795516291,0.8161428681709518,0.8622102697334195,0.7958713137548893,0.8497393696680648
reference_moderate,main,Original proposed ablation,retrospective reconstruction,runtime_seconds,20,15.029372459200022,2.6956272713455083,15.426687495999886,14.295821447499975,16.59605886450015,13.806657997341281,16.121939951640076
reference_moderate,main,Original proposed ablation,retrospective reconstruction,peak_memory_mb,20,0.227734375,0.7638156444878513,0.0,0.0,0.03125,0.01875,0.589453125
reference_moderate,main,Original proposed ablation,retrospective reconstruction,delay_mae,20,1.3229652607616007,0.01886052734091094,1.3218931068202942,1.3111381681287588,1.3284279648718593,1.3153126635111536,1.3316124705963843
reference_moderate,main,Proposed revised,retrospective reconstruction,rmse,20,0.319654631879921,0.05148003767086329,0.31448286554840554,0.2818386888541786,0.3397689298349069,0.2988768305359762,0.3424113462884605
reference_moderate,main,Proposed revised,retrospective reconstruction,mae,20,0.2614991250093133,0.03587107288456249,0.2657978222270396,0.233535157646088,0.29010054491612014,0.2463859771361432,0.27651152252500116
reference_moderate,main,Proposed revised,retrospective reconstruction,r2,20,0.33609467362906836,0.22453481212081283,0.3728457095708643,0.26786456739940223,0.4962959978636885,0.23432889312587663,0.4238422008450447
reference_moderate,main,Proposed revised,retrospective reconstruction,pearson_r,20,0.8182481343515835,0.06746153933863915,0.834717338689618,0.804618278697178,0.86502990340908,0.7860844443332897,0.843171688289923
reference_moderate,main,Proposed revised,retrospective reconstruction,runtime_seconds,20,11.620986212449997,3.559019778795325,11.944411177500115,8.945834168999795,13.061093299000277,10.106233514678683,13.193811865098834
reference_moderate,main,Proposed revised,retrospective reconstruction,peak_memory_mb,20,0.171484375,0.6813725661939727,0.0,0.0,0.0,0.0,0.48335937499999776
reference_moderate,main,Proposed revised,retrospective reconstruction,delay_mae,20,1.3235377187373196,0.019571589168608305,1.3235137213698254,1.3116094471346176,1.3278946790600668,1.3156240334842866,1.3324722896184669
reference_moderate,main,Robust low-rank completion,retrospective reconstruction,rmse,20,1.8057732029163696,0.7277370929380835,1.714987230275626,1.284627176246636,2.259500166523763,1.5064515018324693,2.1246449683192106
reference_moderate,main,Robust low-rank completion,retrospective reconstruction,mae,20,0.5807720121287249,0.17294422989787425,0.5768999971043308,0.43556579233330356,0.7177442482404971,0.5092918418822909,0.6526691801343509
reference_moderate,main,Robust low-rank completion,retrospective reconstruction,r2,20,-22.867962465585595,19.024825419914855,-17.655053648452082,-31.400161405731094,-9.465578811109527,-31.796330269576128,-15.386083468060066
reference_moderate,main,Robust low-rank completion,retrospective reconstruction,pearson_r,20,0.24735952973807626,0.10748254376737355,0.24988294628490593,0.15384270147066043,0.2983791573963207,0.20311885267869048,0.2939117766868324
reference_moderate,main,Robust low-rank completion,retrospective reconstruction,runtime_seconds,20,0.014324378700030138,0.008681250995086999,0.010013656500177603,0.009076310749833283,0.015172580500120603,0.011017952482530404,0.018407234405029834
reference_moderate,main,Robust low-rank completion,retrospective reconstruction,peak_memory_mb,20,0.1462890625,0.19958112923287014,0.0,0.0,0.376953125,0.065234375,0.23203125
reference_moderate,main,Robust median smoother,retrospective reconstruction,rmse,20,0.6664715607763589,0.45446874185198305,0.4941338857469623,0.3514532887270123,0.8086405069430889,0.487242738760623,0.8646065469148098
reference_moderate,main,Robust median smoother,retrospective reconstruction,mae,20,0.1967133744677896,0.06573068714747861,0.1804124217188947,0.1504397369418325,0.23888689420659967,0.16972593439601275,0.22627234757060521
reference_moderate,main,Robust median smoother,retrospective reconstruction,r2,20,-3.060912020820561,5.713394048063386,-0.557413630767792,-3.297796561406377,0.215895659348836,-5.692213407545918,-0.9773326145538475
reference_moderate,main,Robust median smoother,retrospective reconstruction,pearson_r,20,0.5716077633076914,0.2181694045712085,0.6157529747947332,0.40189014742704676,0.7658718789489004,0.4756839744614743,0.6622772989937181
reference_moderate,main,Robust median smoother,retrospective reconstruction,runtime_seconds,20,0.00796460870003557,0.005257337906927897,0.006311435000043275,0.005276026750038909,0.008002526749805838,0.006217997547566938,0.010516017733718854
reference_moderate,main,Robust median smoother,retrospective reconstruction,peak_memory_mb,20,0.025390625,0.06604244384781235,0.0,0.0,0.0,0.0,0.05703125
